"id","latitude","longitude","altitude","velocity","timestamp","fetched_at"
1,-10.6929,-178.752,417.243,27587.4,1761983246,"2025-11-01 15:47:25"
2,-10.4912,-178.603,417.19,27587.6,1761983250,"2025-11-01 15:47:30"
3,-9.93605,-178.193,417.046,27588.0,1761983261,"2025-11-01 15:47:41"
4,-9.38028,-177.786,416.905,27588.4,1761983272,"2025-11-01 15:47:51"
5,-8.92509,-177.453,416.792,27588.7,1761983281,"2025-11-01 15:48:01"
6,-8.41888,-177.085,416.67,27589.1,1761983291,"2025-11-01 15:48:10"
7,-7.91221,-176.718,416.55,27589.5,1761983301,"2025-11-01 15:48:20"
8,-7.40511,-176.351,416.434,27589.8,1761983311,"2025-11-01 15:48:30"
9,-6.89762,-175.986,416.32,27590.2,1761983321,"2025-11-01 15:48:40"
10,-6.38976,-175.621,416.21,27590.6,1761983331,"2025-11-01 15:48:50"
11,-5.88155,-175.257,416.103,27590.9,1761983341,"2025-11-01 15:49:00"
12,-5.37303,-174.894,415.998,27591.2,1761983351,"2025-11-01 15:49:10"
13,-4.86422,-174.532,415.897,27591.6,1761983361,"2025-11-01 15:49:20"
14,-4.35515,-174.17,415.799,27591.9,1761983371,"2025-11-01 15:49:31"
15,-3.84584,-173.809,415.704,27592.2,1761983381,"2025-11-01 15:49:40"
16,-3.33632,-173.448,415.612,27592.6,1761983391,"2025-11-01 15:49:50"
17,-2.82662,-173.088,415.523,27592.9,1761983401,"2025-11-01 15:50:01"
18,-2.31677,-172.728,415.438,27593.2,1761983411,"2025-11-01 15:50:10"
19,-1.75578,-172.332,415.348,27593.5,1761983422,"2025-11-01 15:50:21"
20,-1.29669,-172.008,415.277,27593.8,1761983431,"2025-11-01 15:50:31"
21,-0.786528,-171.649,415.201,27594.1,1761983441,"2025-11-01 15:50:40"
22,-0.27631,-171.289,415.129,27594.4,1761983451,"2025-11-01 15:50:50"
23,0.23393,-170.93,415.06,27594.6,1761983461,"2025-11-01 15:51:01"
24,0.744169,-170.571,414.994,27594.9,1761983471,"2025-11-01 15:51:10"
25,1.25438,-170.211,414.931,27595.2,1761983481,"2025-11-01 15:51:20"
26,1.76454,-169.852,414.872,27595.5,1761983491,"2025-11-01 15:51:30"
27,2.27461,-169.492,414.816,27595.7,1761983501,"2025-11-01 15:51:40"
28,2.78459,-169.132,414.763,27596.0,1761983511,"2025-11-01 15:51:51"
29,3.29442,-168.771,414.714,27596.2,1761983521,"2025-11-01 15:52:01"
30,3.8041,-168.41,414.668,27596.4,1761983531,"2025-11-01 15:52:10"
31,4.31359,-168.049,414.625,27596.7,1761983541,"2025-11-01 15:52:20"
32,4.82287,-167.687,414.586,27596.9,1761983551,"2025-11-01 15:52:31"
